transaction_id,date_time,debit_account,credit_account,amount,currency,type,description,generator_tag
GEN_20251108_233307_00001,2025-05-14T14:26:24.892341,10,external,118.83,USD,payment,Gym membership [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00002,2025-05-14T17:34:58.892341,13,external,38.73,USD,payment,Online subscription [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00003,2025-05-18T23:28:01.892341,17,4,140.91,USD,transfer,Transfer to bob [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00004,2025-05-23T21:45:24.892341,11,10,61.33,USD,transfer,Transfer to plampie [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00005,2025-05-25T21:21:25.892341,12,external,368.93,USD,payment,Mobile top-up [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00006,2025-05-26T21:35:22.892341,1,external,57.42,USD,payment,Online subscription [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00007,2025-05-28T13:02:11.892341,5,6,433.42,USD,transfer,Transfer to frank [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00008,2025-05-28T14:12:47.892341,17,external,144.48,USD,payment,Transport pass [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00009,2025-05-29T08:15:11.892341,9,external,49.49,USD,payment,Restaurant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00010,2025-05-31T16:09:20.892341,1,14,323.82,USD,transfer,Transfer to student [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00011,2025-06-02T09:07:47.892341,9,external,452.04,USD,payment,Coffee & snacks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00012,2025-06-05T12:58:02.892341,2,external,292.7,USD,payment,Pizza delivery [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00013,2025-06-07T12:16:43.892341,9,external,76.21,USD,payment,Online subscription [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233307_00014,2025-06-08T14:33:14.892341,external,5,369.26,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
